"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"       (2021 YK)",APO,0.3213,1.35,0.48,288.08,217.74,149.07,573,0.000955,0.372,N,27.35,,,0.941,2461000.5
"       (2021 YL)",ATE,0.1102,0.9437,14.71,275.24,317.41,323.01,335,0.0294,11.4,N,25.45,,,,2461000.5
"       (2021 YM)",APO,0.7694,2.452,9.88,319.34,33.20,18.71,1.4e+03,0.144,55.9,N,18.62,,,,2461000.5
"       (2021 YN)",APO,0.6939,1.65,6.98,91.45,127.30,268.16,774,0.053,20.6,N,21.02,,,,2461000.5
"       (2021 YO)",AMO,0.4732,2.005,34.92,97.37,292.48,159.76,1.04e+03,0.276,107,N,20.44,,,,2461000.5
"       (2021 YQ)",APO,0.5800,1.86,1.31,317.93,211.97,173.76,926,0.012,4.66,N,23.80,,,,2461000.5
"       (2021 YR)",APO,0.5999,2.015,4.02,97.12,299.98,144.14,1.04e+03,0.00146,0.566,N,25.85,,,,2461000.5
"       (2021 YS)",AMO,0.5084,2.157,7.08,152.11,20.10,54.35,1.16e+03,0.0759,29.5,N,19.92,,,,2461000.5
"       (2021 YT)",AMO,0.3442,1.881,8.11,107.62,1.32,176.93,942,0.25,97.1,N,22.73,,,,2461000.5
"       (2021 YU)",AMO,0.2489,1.358,10.23,99.18,306.23,32.78,578,0.0937,36.5,N,24.64,,,,2459579.5
"       (2021 YV)",AMO,0.0919,1.135,8.42,277.10,187.62,72.90,442,0.0481,18.7,N,26.52,,,,2461000.5
"       (2021 YW)",APO,0.7297,1.239,6.54,92.37,234.45,44.43,504,0.00241,0.938,N,25.08,,,,2459586.5
"       (2021 YX)",APO,0.5316,1.902,8.12,96.63,54.41,345.18,958,0.0243,9.46,N,25.09,,,,2459579.5
"       (2022 AA)",APO,0.2546,1.29,1.93,123.37,32.12,199.50,535,0.00227,0.884,N,24.60,,,,2461000.5
"       (2022 AB)",ATE,0.1459,0.9726,7.11,292.47,296.60,265.78,350,0.022,8.55,N,23.60,,,0.0505146,2461000.5
"       (2022 AC)",ATE,0.4367,0.7166,4.00,281.49,14.49,290.70,222,0.00639,2.49,N,25.32,,,,2461000.5
"       (2022 AD)",ATE,0.0587,0.9856,12.85,109.82,177.42,162.36,357,0.0597,23.2,N,24.33,,,,2461000.5
"       (2022 AE)",APO,0.6968,2.452,13.68,96.51,295.25,11.95,1.4e+03,0.00478,1.86,N,24.58,,,,2459583.5
"       (2022 AF)",AMO,0.4114,1.751,15.39,291.51,165.75,245.49,846,0.0546,21.2,N,23.55,,,,2461000.5
"       (2022 AG)",ATE,0.1714,0.8608,3.92,302.58,333.55,141.71,292,0.00127,0.494,N,25.12,,,,2461000.5
"       (2022 AH)",APO,0.4101,1.327,12.84,93.53,292.51,229.76,559,0.0164,6.4,N,22.71,,,,2461000.5
"       (2022 AJ)",APO,0.5442,1.794,9.26,305.50,90.52,241.11,878,0.0717,27.9,N,23.60,,,,2461000.5
"       (2022 AK)",APO,0.5381,1.152,5.86,77.87,260.48,102.79,451,0.0151,5.88,N,22.11,,,,2461000.5
"       (2022 AL)",APO,0.1926,1.235,6.21,286.61,173.02,299.80,502,0.0149,5.8,N,27.21,,,,2461000.5
"       (2022 AM)",APO,0.3086,1.033,9.06,104.35,101.20,183.69,383,0.0047,1.83,N,28.18,,,,2461000.5
"       (2022 AN)",APO,0.4648,1.853,1.13,100.99,15.73,189.08,922,0.00926,3.6,N,26.73,,,,2461000.5
"       (2022 AO)",APO,0.1886,1.029,6.09,89.93,145.35,145.55,381,0.0844,32.9,N,23.95,,,,2461000.5
"       (2022 AP)",APO,0.6204,2.562,11.40,73.67,343.33,347.27,1.5e+03,0.00256,0.996,Y,21.80,,,,2461000.5
"       (2022 AQ)",APO,0.2837,1.198,16.43,104.58,289.53,43.07,479,0.0174,6.79,N,27.04,,,,2459585.5
"       (2022 AR)",AMO,0.4036,1.904,57.27,109.74,46.94,340.77,960,0.255,99.3,N,20.95,,,,2459587.5
"       (2022 AS)",APO,0.5182,1.907,51.69,131.57,73.70,141.44,962,0.199,77.6,N,19.23,,,,2461000.5
"       (2022 AT)",APO,0.4692,1.89,12.60,287.28,207.02,350.32,949,0.0474,18.4,N,25.29,,,,2459584.5
"       (2022 AU)",APO,0.3495,1.437,4.70,103.59,323.08,107.97,629,0.00106,0.414,N,29.13,,,,2461000.5
"       (2022 AV)",APO,0.4933,1.948,1.36,299.77,151.69,4.04,993,0.0105,4.07,N,27.83,,,,2459584.5
"       (2022 AW)",APO,0.3670,1.272,5.23,104.62,84.75,207.31,524,0.0204,7.94,N,24.33,,,,2461000.5
"       (2022 AX)",ATE,0.2827,0.913,1.99,289.33,47.33,259.30,319,0.00686,2.67,N,26.77,,,,2461000.5
"       (2022 AY)",APO,0.6589,2.871,10.85,102.68,332.37,4.56,1.78e+03,0.0308,12,N,25.45,,,,2459585.5
"       (2022 AZ)",APO,0.4285,1.123,6.38,289.67,280.12,38.87,435,0.00175,0.679,N,23.91,,,,2461000.5
"       (2022 AA1)",APO,0.6278,2.585,2.95,177.27,338.05,351.86,1.52e+03,0.00183,0.714,N,22.66,,,,2459588.5
